Ranking,Instituição,Pública ou Privada,Estado,Inicio incrição,Fim inscrição,Início isenção ,Fim isenção,Primiera fase,Primeira fase (segundo dia),Segunda fase,Segunda fase (segundo dia),Resultado,link site,metadados,Posição em Ensino,Nota em Ensino,Posição em Pesquisa,Nota em Pesquisa,Posição em Mercado,Nota em Mercado,Posição em Inovação,Nota em Inovação,Posição em Internacionalização,Nota em Internacionalização,Nota,Extrator
84,Universidade Cruzeiro do Sul,Privada,SP,,,,,2021-11-20,,,,,,Data da Prova Tradicional mas exitem outras formas de ingresso. Não encontramos informaçõe ssobre período de incrição. Acesse o site para saber mais.,103,13.39,75,23.05,88,9.84,174,0.01,36,3.07,49.36,
86,Universidade Católica de Pernambuco,Privada,PE,,,,,,,,,,https://portal.unicap.br/vestibular,Sem informções,82,16.66,127,15.53,29,15.38,158,0.6,157,1.07,49.24,
87,Universidade Católica Dom Bosco,Privada,MS,,,,,,,,,,https://vestibular.ucdb.br/,,96,14.36,98,20.3,78,10.78,143,0.95,62,2.53,48.92,
88,Universidade Estácio de Sá,Privada,RJ,,,,,,,,,,https://matriculas.estacio.br/vestibular,Os vestibulares são agendados e não encontramos datas referentes ao período de inscrição.,92,15.35,137,12.94,12,16.97,127,1.17,125,1.61,48.04,
89,Universidade do Estado da Bahia,Estadual,BA,,,,,,,,,,https://portal.uneb.br/,,93,14.78,122,15.9,33,15,148,0.89,145,1.35,47.92,
90,Universidade da Região de Joinville,Privada,SC,,,,,,,,,,https://www.univille.edu.br/,Ainda não encontramos datas para o processo selcetivo de 2022.1,109,12.48,93,20.93,78,10.78,152,0.82,59,2.59,47.6,
91,Universidade Federal Rural do Semi Árido,Federal,RN,,,,,,,,,,,Sem informções,68,18.47,73,24.62,169,2.25,138,0.99,153,1.2,47.53,
92,Universidade Estadual da Paraí­ba,Estadual,PB,,,,,,,,,,https://uepb.edu.br/,não possui vestibular proprio,132,8.02,69,25.75,88,9.84,119,1.27,124,1.62,46.5,
93,Universidade do Sul de Santa Catarina,Privada,SC,,,,,,,,,,https://estude.unisul.br/,"Não encontramos datas dos processos, para informações, acesse o site",146,6.87,74,23.16,67,11.81,76,1.99,61,2.54,46.37,
94,Universidade de Sorocaba,Privada,SP,,,,,,,,,,,,117,11.61,107,19.42,88,9.84,71,2.08,24,3.24,46.19,
95,Universidade Estadual de Montes Claros,Estadual,MG,,,,,,,,,,,,127,9.24,72,25.02,104,8.34,126,1.19,107,1.83,45.62,
96,Universidade do Vale do Paraí­ba,Privada,SP,,,,,,,,,,,,145,6.93,60,27.38,124,6.47,88,1.8,44,2.91,45.49,
97,Universidade São Francisco,Privada,SP,,,,,,,,,,https://www.usf.edu.br/vestibular/,As provas podem ser agendadas no site.,115,11.96,102,20.11,88,9.84,146,0.9,77,2.34,45.15,
98,Universidade Cidade de São Paulo,Privada,SP,,,,,2021-11-20,,,,,https://www.unicid.edu.br/processo-seletivo/graduacao-presencial/,Data da Prova Tradicional mas exitem outras formas de ingresso. Não encontramos informaçõe ssobre período de incrição. Acesse o site para saber mais.,107,13.08,103,20.08,104,8.34,170,0.28,25,3.23,45.01,
99,Universidade Pitágoras Unopar,Privada,PR,,,,,,,,,,https://www.unopar.com.br/paginas/vestibular-online/,As provas podem ser agendadas no site.,98,14.12,130,14.07,33,15,154,0.72,163,0.97,44.88,
100,Universidade Estadual do Centro Oeste,Estadual,PR,2022-01-03,2022-02-30,2021-11-16,2021-11-30,2022-03-13,,,,2022-04-20,,,107,13.08,95,20.67,124,6.47,18,3.14,151,1.24,44.6,
